Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Montserrat,-0.381463609,-1.146782819,-0.245933582,1.192918793,1.313749969,-1.070947147,-1.893945026,2.608760705,2.980352427,-1.089419487
Morocco,0.442310054,1.557907113,1.635311143,0.754663249,1.803916711,0.303386037,0.705968661,1.40195884,6.657042028,6.091141525
"Mozambique, Rep. of",2.559748758,3.550759674,17.41804182,15.11320739,3.9113344,2.802703079,3.483935675,6.40847653,10.27940181,7.126974821
Myanmar,4.953299185,9.454171895,6.928825258,4.572536553,6.872328657,8.825066968,,,,
Namibia,5.350169669,3.394015384,6.728582346,6.145799811,4.291591053,3.722394144,2.209382369,3.616905301,6.081281141,5.879934633
"Nauru, Rep. of",,,,,,,,,,
Nepal,8.364154697,7.868908956,8.79034332,3.627096107,4.061163388,5.568685478,5.052366553,4.149680034,7.650791768,7.114759517
"Netherlands, The",0.97603508,0.600248147,0.316666667,1.381458714,1.703497947,2.633699102,1.272460378,2.675720088,10.00120788,3.838393543
New Caledonia,0.178851061,0.570508141,0.578317436,,,,,,,
New Zealand,1.227507506,0.292704628,0.646240284,1.850787675,1.598297038,1.619631902,1.7145617,3.941120608,7.17222476,5.73316283
Nicaragua,6.035968618,3.997379967,3.523173176,3.850671663,4.94723728,5.376289908,3.681813416,4.928413969,10.46742445,8.387658549
Niger,-0.93028726,-0.57609037,1.653889224,2.796373189,2.96760366,-2.489792651,2.89819376,3.837868028,4.226217919,3.700973164
Nigeria,8.04741088,9.00943498,15.69681264,16.50226621,12.09510652,11.39642234,13.24602343,16.95284572,18.84718778,24.6595502
"North Macedonia, Republic of",-0.281705033,-0.299920476,-0.239290788,1.351618897,1.458312985,0.766439573,1.200073489,3.230749121,14.20471732,9.361872498
Norway,2.041702867,2.171136654,3.55,1.875100596,2.764831345,2.167730033,1.286584907,3.483880553,5.764123179,5.517849871
Oman,1.014014839,0.065290133,1.109208058,1.589094136,0.889312371,0.490815363,-0.406402919,1.682211859,2.506142506,0.950782998
