Country Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
New Zealand,97.5326225,97.818105,98.450245,100.27235,101.875,103.525,105.3,109.45,117.3,124.025
Nicaragua,183.0225,190.3386048,197.0445634,204.6321026,214.7557383,226.3016293,234.6336331,246.1973498,271.9678714,294.7796078
Niger,97.30221536,96.74166667,98.34166667,101.0916667,104.0916667,101.5,104.4416667,108.45,113.0333333,117.2166667
Nigeria,158.8152842,173.123644,200.298538,233.3523359,261.5765495,291.3869179,329.9840973,385.9257922,458.6619509,571.765925
"North Macedonia, Republic of",110.0291667,109.6991667,109.4366667,110.9158333,112.5333333,113.3958333,114.7566667,118.4641667,135.2916667,147.9575
Norway,97.875,100,103.55,105.4916667,108.4083333,110.7583333,112.1833333,116.0916667,122.7833333,129.5583333
Oman,96.41957822,96.48253069,97.55272269,99.10292729,99.98426188,100.475,100.0666667,101.75,104.3,105.2916667
Pakistan,95.80474006,98.22795634,101.9263559,106.0904285,111.4777612,123.2702821,135.2767991,148.1229688,177.5607202,232.1928299
"Palau, Rep. of",99.41925842,100.3627876,99.3167009,100.725,102.85,103.125,103.35,106.05,119.15,134.425
Panama,102.6255647,102.7666667,103.5268667,104.4333333,105.228675,104.855025,103.2294833,104.91285,107.9129917,109.517025
Papua New Guinea,111.325,118,125.875,132.7,138.5049472,143.9463535,150.9589506,157.7273312,166.0131252,169.8292688
Paraguay,88.08833011,90.84461638,94.55727488,97.96367935,101.8583333,104.6666667,106.5166667,111.6166667,122.5166667,128.1916667
Peru,79.39167254,82.08947457,85.00954218,87.55549335,88.87684078,90.87845559,92.69821674,96.65797292,104.7131645,111.4730417
Philippines,90.55530237,91.16581946,92.30876424,94.94250657,99.98333333,102.375,104.825,108.9416667,115.2833333,122.175
"Poland, Rep. of",123.9333333,122.85,122.0333333,124.5666667,126.825,129.65,134.025,140.8,161.1166667,179.6916667
Portugal,99.9955,100.4834167,101.09375,102.4773333,103.4956667,103.8456667,103.83275,105.1469167,113.38275,118.271
Qatar,94.78491902,96.50439066,99.08741918,99.4786945,99.7331763,99.06831394,96.55166667,98.77666667,103.7108333,106.8508333
Romania,100.5975,99.99979348,98.455,99.77333333,104.3883333,108.3841667,111.2358333,116.8558333,132.9766667,146.8025
Russian Federation,131.155275,151.5294667,162.20085,168.1752417,173.015825,180.7502667,186.862625,199.3720667,,
Rwanda,101.8295405,104.4043033,111.8946261,121.1589828,120.7819237,124.8255534,137.1213685,136.5847485,160.7455109,192.5563189
Samoa,99.10632447,99.8243202,101.1267468,102.8963604,107.2153929,108.2685982,106.5699586,109.9090136,121.9571102,
"San Marino, Rep. of",107.5766092,107.7333333,108.3516667,109.485,,,,,,
Saudi Arabia,95.28166667,96.43083333,98.42583333,97.60083333,100,97.90666667,101.28,104.3825,106.965,109.4541667
Senegal,100.1445689,100.2799764,101.1196055,102.4525168,102.9248082,104.7363995,107.4,109.7416667,120.3831174,127.5332462
"Serbia, Rep. of",180.15,182.6583333,184.7083333,190.4916667,194.225,197.8166667,200.9333333,209.1416667,234.2,263.175
Seychelles,100,104.0419441,102.985417,105.9275,109.8499089,111.835,113.18,124.2366667,127.4991667,126.1791667
Sierra Leone,39.5275,42.17166667,46.7625,55.28333333,64.145,73.64166667,83.54416667,93.46416667,118.8941667,175.5387639
Singapore,99.48308333,98.96316667,98.43641667,99.00366667,99.43791667,100,99.81808333,102.11875,108.3695,113.5945
Slovak Rep.,163.9916667,163.4583333,162.6083333,164.7416667,168.8833333,173.3833333,176.7416667,182.3083333,205.5966667,227.25
"Slovenia, Rep. of",100.5291667,100.0008333,99.94583333,101.3741667,103.1366667,104.8183333,104.7608333,106.7691667,116.2008333,124.8541667
Solomon Islands,99.59136126,99.01923947,99.52669884,100.0130726,103.475,105.1666667,108.2833333,108.1583333,114.12665,120.8439837
Somalia,,100.912615,100.9367671,104.9304246,109.4067048,114.5581815,119.2701082,124.7862319,133.2458352,141.3791667
South Africa,70.84166667,74.05833333,78.925,83.01666667,86.76666667,90.34166667,93.24166667,97.54166667,104.4083333,110.75
"South Sudan, Rep. of",161.4939868,246.7084375,1184.199478,3408.737502,6255.085453,11712.10733,15187.77398,16785.02901,15662.56025,16035.76842
Spain,93.88133333,93.41158333,93.22233333,95.04583333,96.63783333,97.31383333,96.99975,100.0000833,108.3906667,112.2194167
Sri Lanka,83.68562836,86.83921066,90.27707816,97.23214855,99.30809161,102.8120719,109.1390704,116.7949369,174.8666667,203.7916667
St. Kitts and Nevis,109.8741667,107.345,106.6075,107.3483333,106.235,105.8848897,104.6489536,105.9002295,108.7258333,112.5933333
St. Lucia,103.353321,102.3367368,99.18658925,99.29000325,101.2118794,101.7575,99.97083333,102.3808333,108.9108333,113.3441667
St. Vincent and the Grenadines,107.675,105.8083333,105.65,107.925,110.4333333,111.4416667,110.7416667,112.4833333,118.85,124.275
Sudan,429.8418983,502.5263176,591.7260146,783.1590023,1278.839971,1930.972285,5083.434815,23337.69547,55732.39121,
Suriname,62.15797365,66.44308443,103.2607842,125.975,,140.6333333,189.7,301.85,460.1583333,697.5416667
Sweden,313.4925,313.3458333,316.43,322.1083333,328.4008333,334.26,335.9225,343.1891667,371.9116667,403.705
Switzerland,100.9142333,99.75986667,99.32629167,99.85648333,100.791475,101.1572333,100.4229583,101.0072333,103.8708167,106.088875
Syrian Arab Rep.,324.1583333,448.8333333,662.95,782.78,790.1458333,896.1641667,,,,
"Tajikistan, Rep. of",467.6600626,494.3847751,524.0705085,,,,,,,
"Tanzania, United Rep. of",77.30369052,81.62355179,85.84737984,90.41335821,93.57281548,96.81444036,99.99991682,103.6908333,108.2016667,112.3125
Thailand,98.3027766,97.41763386,97.60092485,98.25058773,99.29587332,99.99762565,99.15170859,100.3716667,106.4716667,107.7791667
"Timor-Leste, Dem. Rep. of",98.01666667,98.65,97.2,97.70833333,99.95,100.9083333,101.4083333,105.1583333,112.525,122
Togo,99.57024259,102.1441373,103.4571475,102.4413123,103.3917171,104.0892522,105.8580248,110.2894694,119.0768641,31649.05833
Tonga,86.29394477,85.38440804,87.58575056,94.16962646,98.90833333,100.075,99.725,105.35,116.9083333,124.3333333
Trinidad and Tobago,96.77431007,101.2851697,104.3953004,106.3583333,107.4416667,108.5166667,109.1666667,111.4146567,117.9083333,123.3666667
Tunisia,95.7511653,100,103.6293994,109.1309271,117.1057697,124.9753657,132.0166667,139.55,151.1416667,165.2416667
Turkiye,242.02,260.585,280.8458333,312.1441667,363.125,418.2358333,469.5908333,561.6141667,967.7108333,1488.914167
Uganda,86.34743483,91.17398536,96.37671491,101.3976691,104.0502442,107.0339765,110.5803578,113.0181814,121.1507311,127.6334438
Ukraine,116.975,173.9416667,198.1416667,226.75,251.5833333,271.425,278.8416667,304.95,366.5,413.5916667
United Arab Emirates,93.1120133,96.90164066,98.46901316,100.4057269,103.486811,101.4883967,99.37804371,99.55685993,104.8246384,106.5298296
United Kingdom,99.625,99.99166667,101,103.5833333,105.9583333,107.8,108.8666667,111.6083333,120.45,128.6333333
United States,108.5669321,108.695722,110.0670089,112.4115573,115.1573032,117.2441955,118.6905016,124.2664138,134.2112062,139.7357936
Uruguay,51.47836078,55.93961445,61.33186519,65.14553811,70.10085536,75.62619686,83.00459594,89.43572067,97.57828838,103.3052592
"Uzbekistan, Rep. of",49.15663246,53.45876292,57.80543436,65.82636761,77.36189852,88.59928363,100,110.8492398,123.5377573,
Vanuatu,141.95,145.475,146.7,151.225,154.75,159.025,167.5,171.425,182.875,
Vietnam,87.64539508,88.19861361,90.5519715,93.73963352,97.05766789,99.77122914,102.984795,104.874273,108.1846373,111.7037676
West Bank and Gaza,98.78824102,100.2025048,99.98295449,100.1954892,100,101.5801833,100.8332317,102.0810239,105.9001035,112.1176064
Zambia,141.51,155.8175,183.6616667,195.7416667,210.4116667,229.665,265.7983333,324.3291667,359.9833333,399.1658333
Zimbabwe,2.077711575,2.027203063,1.995909745,2.013752426,2.227590095,7.914738783,52.01580712,103.2753591,211.41,
